no_prov;Provinsi;kelapa_sawit;Tahun
22;Kalimantan Selatan;1460.60;2014
23;Kalimantan Timur;1407.30;2014
24;Kalimantan Utara;255.70;2014
25;Sulawesi Utara;0.00;2014
26;Sulawesi Tengah;254.40;2014
27;Sulawesi Selatan;78.90;2014
28;Sulawesi Tenggara;71.00;2014
29;Gorontalo;0.00;2014
30;Sulawesi Barat;285.50;2014
31;Maluku;0.00;2014
32;Maluku Utara;0.00;2014
33;Papua Barat;74.00;2014
34;Papua;94.00;2014
35;Indonesia;29278.20;2014
